 ,launch,nationalities,manufacturers,id
Satellite,5eb87ce6ffd86e000604b33a,Hong Kong,SSL,5eb0e4bcb6c3bb0006eeb1f4
Dragon 1.1,5eb87ce7ffd86e000604b33b,United States,SpaceX,5eb0e4bcb6c3bb0006eeb1f5
Dragon 1.1,5eb87ce8ffd86e000604b33c,United States,SpaceX,5eb0e4bdb6c3bb0006eeb1f6
Satellite,5eb87ceaffd86e000604b33d,United States,Sierra Nevada,5eb0e4bdb6c3bb0006eeb1f7
Satellite,5eb87ceaffd86e000604b33e,Hong Kong,Boeing,5eb0e4bdb6c3bb0006eeb1f8
Satellite,5eb87ceaffd86e000604b33e,France,Boeing,5eb0e4bdb6c3bb0006eeb1f9
Dragon 1.1,5eb87cecffd86e000604b33f,United States,SpaceX,5eb0e4bdb6c3bb0006eeb1fa
Satellite,5eb87cedffd86e000604b340,Turkmenistan,Thales Alenia Space,5eb0e4beb6c3bb0006eeb1fb
Dragon 1.1,5eb87ceeffd86e000604b341,United States,SpaceX,5eb0e4beb6c3bb0006eeb1fc
Satellite,5eb87cefffd86e000604b342,United States,Boeing,5eb0e4beb6c3bb0006eeb1fd
Satellite,5eb87cf0ffd86e000604b343,United States,Thales Alenia Space,5eb0e4beb6c3bb0006eeb1fe
Satellite,5eb87cf2ffd86e000604b344,Luxembourg,Boeing,5eb0e4beb6c3bb0006eeb1ff
Dragon 1.1,5eb87cf3ffd86e000604b345,United States,SpaceX,5eb0e4bfb6c3bb0006eeb200
Satellite,5eb87cf5ffd86e000604b346,Japan,SSL,5eb0e4bfb6c3bb0006eeb201
Satellite,5eb87cf6ffd86e000604b347,Thailand,Orbital ATK,5eb0e4bfb6c3bb0006eeb202
Satellite,5eb87cf8ffd86e000604b348,Hong Kong,Boeing,5eb0e4bfb6c3bb0006eeb203
Satellite,5eb87cf8ffd86e000604b348,France,Boeing,5eb0e4bfb6c3bb0006eeb204
Dragon 1.1,5eb87cf9ffd86e000604b349,United States,SpaceX,5eb0e4c0b6c3bb0006eeb205
Satellite,5eb87cfaffd86e000604b34a,Japan,SSL,5eb0e4c1b6c3bb0006eeb206
Satellite,5eb87cfbffd86e000604b34b,Israel,Israel Aerospace Industries,5eb0e4c1b6c3bb0006eeb207
Satellite,5eb87cfdffd86e000604b34c,United States,Thales Alenia Space,5eb0e4c2b6c3bb0006eeb208
Dragon 1.1,5eb87cfeffd86e000604b34d,United States,SpaceX,5eb0e4c3b6c3bb0006eeb209
Satellite,5eb87cfeffd86e000604b34e,United States,Airbus Defence and Space,5eb0e4c3b6c3bb0006eeb20a
Satellite,5eb87d00ffd86e000604b34f,Luxembourg,Airbus Defence and Space,5eb0e4c3b6c3bb0006eeb20b
Satellite,5eb87d01ffd86e000604b350,United States,Boeing,5eb0e4c3b6c3bb0006eeb20c
Satellite,5eb87d01ffd86e000604b351,United Kingdom,Boeing,5eb0e4c3b6c3bb0006eeb20d
Dragon 1.1,5eb87d03ffd86e000604b352,United States,SpaceX,5eb0e4c4b6c3bb0006eeb20e
Satellite,5eb87d04ffd86e000604b353,Bulgaria,SSL,5eb0e4c4b6c3bb0006eeb20f
Satellite,5eb87d05ffd86e000604b354,United States,Thales Alenia Space,5eb0e4c4b6c3bb0006eeb210
Satellite,5eb87d06ffd86e000604b355,United States,Boeing,5eb0e4c4b6c3bb0006eeb211
Dragon 1.1,5eb87d07ffd86e000604b356,United States,SpaceX,5eb0e4c4b6c3bb0006eeb212
Satellite,5eb87d08ffd86e000604b357,Taiwan,NSPO,5eb0e4c4b6c3bb0006eeb213
Satellite,5eb87d09ffd86e000604b358,United States,Boeing Defense,5eb0e4c5b6c3bb0006eeb214
Satellite,5eb87d0affd86e000604b359,United States,Thales Alenia Space,5eb0e4c5b6c3bb0006eeb215
Satellite,5eb87d0cffd86e000604b35a,United States,Airbus Defence and Space,5eb0e4c5b6c3bb0006eeb216
Satellite,5eb87d0dffd86e000604b35b,South Korea,Thales Alenia Space,5eb0e4c5b6c3bb0006eeb217
Dragon 1.1,5eb87d0effd86e000604b35c,United States,SpaceX,5eb0e4c5b6c3bb0006eeb218
Satellite,5eb87d0fffd86e000604b35d,United States,Thales Alenia Space,5eb0e4c6b6c3bb0006eeb219
Satellite,5eb87d10ffd86e000604b35e,United States,Northrop Grumman,5eb0e4c6b6c3bb0006eeb21a
Satellite,5eb87d11ffd86e000604b35f,Luxembourg,Orbital ATK,5eb0e4c6b6c3bb0006eeb21b
Satellite,5eb87d13ffd86e000604b360,United States,Tesla,5eb0e4c6b6c3bb0006eeb21c
Satellite,5eb87d14ffd86e000604b361,Spain,Airbus Defence and Space,5eb0e4c6b6c3bb0006eeb21d
Satellite,5eb87d14ffd86e000604b361,United States,SpaceX,5eb0e4c6b6c3bb0006eeb21e
Satellite,5eb87d15ffd86e000604b362,Spain,SSL,5eb0e4c7b6c3bb0006eeb21f
Satellite,5eb87d16ffd86e000604b363,United States,Thales Alenia Space,5eb0e4c7b6c3bb0006eeb220
Dragon 1.1,5eb87d16ffd86e000604b364,United States,SpaceX,5eb0e4c7b6c3bb0006eeb221
Satellite,5eb87d18ffd86e000604b365,United States,Orbital ATK,5eb0e4c7b6c3bb0006eeb222
Satellite,5eb87d19ffd86e000604b366,Bangladesh,Thales Alenia Space,5eb0e4c7b6c3bb0006eeb223
Satellite,5eb87d1affd86e000604b367,United States,Thales Alenia Space,5eb0e4c7b6c3bb0006eeb224
Satellite,5eb87d1affd86e000604b367,,,5eb0e4c8b6c3bb0006eeb225
Satellite,5eb87d1bffd86e000604b368,Luxembourg,Airbus Defence and Space,5eb0e4c8b6c3bb0006eeb226
Dragon 1.1,5eb87d1cffd86e000604b369,United States,SpaceX,5eb0e4c8b6c3bb0006eeb227
Satellite,5eb87d1effd86e000604b36a,Canada,SSL,5eb0e4c8b6c3bb0006eeb228
Satellite,5eb87d1fffd86e000604b36b,United States,Thales Alenia Space,5eb0e4c9b6c3bb0006eeb229
Satellite,5eb87d20ffd86e000604b36c,Indonesia,SSL,5eb0e4c9b6c3bb0006eeb22a
Satellite,5eb87d22ffd86e000604b36d,Canada,SSL,5eb0e4c9b6c3bb0006eeb22b
Satellite,5eb87d23ffd86e000604b36e,Argentina,INVAP,5eb0e4c9b6c3bb0006eeb22c
Satellite,5eb87d24ffd86e000604b36f,Qatar,Mitsubishi Electric,5eb0e4c9b6c3bb0006eeb22d
Satellite,5eb87d25ffd86e000604b370,United States,"Spaceflight Industries, Inc",5eb0e4c9b6c3bb0006eeb22e
Dragon 1.1,5eb87d26ffd86e000604b371,United States,SpaceX,5eb0e4cab6c3bb0006eeb22f
Satellite,5eb87d27ffd86e000604b372,United States,Lockheed Martin,5eb0e4cab6c3bb0006eeb230
Satellite,5eb87d28ffd86e000604b373,United States,Thales Alenia Space,5eb0e4cab6c3bb0006eeb231
Satellite,5eb87d2affd86e000604b374,Indonesia,SSL,5eb0e4cab6c3bb0006eeb232
Satellite,5eb87d2affd86e000604b374,United States,Applied Defense Systems,5eb0e4cab6c3bb0006eeb233
Lander,5eb87d2affd86e000604b374,Israel,SSL,5eb0e4cab6c3bb0006eeb234
Crew Dragon,5eb87d2bffd86e000604b375,United States,SpaceX,5eb0e4cbb6c3bb0006eeb235
Satellite,5eb87d2dffd86e000604b376,Saudi Arabia,Lockheed Martin,5eb0e4cbb6c3bb0006eeb236
Dragon 1.1,5eb87d2effd86e000604b377,United States,SpaceX,5eb0e4cbb6c3bb0006eeb237
Satellite,5eb87d30ffd86e000604b378,United States,SpaceX,5eb0e4cbb6c3bb0006eeb238
Satellite,5eb87d31ffd86e000604b379,Canada,Maxar Technologies,5eb0e4ccb6c3bb0006eeb239
Satellite,5eb87d35ffd86e000604b37a,United States,Sierra Nevada Corporation,5eb0e4ccb6c3bb0006eeb23a
Satellite,5eb87d35ffd86e000604b37a,United States,National Space Organization,5eb0e4ccb6c3bb0006eeb23b
Satellite,5eb87d35ffd86e000604b37a,United States,Ball Aerospace & Technologies Corp,5eb0e4ccb6c3bb0006eeb23c
Satellite,5eb87d35ffd86e000604b37a,United States,Michigan Tech,5eb0e4ccb6c3bb0006eeb23d
Satellite,5eb87d35ffd86e000604b37a,United States,Surrey Satellite Technology-US LLC,5eb0e4ccb6c3bb0006eeb23e
Satellite,5eb87d35ffd86e000604b37a,United States,Naval Postgrad School,5eb0e4cdb6c3bb0006eeb23f
Satellite,5eb87d35ffd86e000604b37a,United States,Georgia Tech,5eb0e4cdb6c3bb0006eeb240
Satellite,5eb87d35ffd86e000604b37a,United States,Planetary Society,5eb0e4cdb6c3bb0006eeb241
Satellite,5eb87d35ffd86e000604b37a,United States,University of Texas,5eb0e4cdb6c3bb0006eeb242
Satellite,5eb87d35ffd86e000604b37a,United States,USAF Academy,5eb0e4cdb6c3bb0006eeb243
Satellite,5eb87d35ffd86e000604b37a,United States,SRI International,5eb0e4cdb6c3bb0006eeb244
Satellite,5eb87d35ffd86e000604b37a,United States,US Naval Academy,5eb0e4cdb6c3bb0006eeb245
Satellite,5eb87d35ffd86e000604b37a,United States,US Naval Academy,5eb0e4ceb6c3bb0006eeb246
Satellite,5eb87d35ffd86e000604b37a,United States,Naval Research Lab,5eb0e4ceb6c3bb0006eeb247
Satellite,5eb87d35ffd86e000604b37a,United States,Cal Poly,5eb0e4ceb6c3bb0006eeb248
Satellite,5eb87d35ffd86e000604b37a,United States,Merrit Island HS,5eb0e4ceb6c3bb0006eeb249
Dragon 1.1,5eb87d36ffd86e000604b37b,United States,SpaceX,5eb0e4ceb6c3bb0006eeb24a
Satellite,5eb87d37ffd86e000604b37c,Israel,Boeing Satellite Systems,5eb0e4cfb6c3bb0006eeb24b
Satellite,5eb87d39ffd86e000604b37d,United States,SpaceX,5eb0e4cfb6c3bb0006eeb24c
Dragon 1.1,5eb87d39ffd86e000604b37e,United States,SpaceX,5eb0e4cfb6c3bb0006eeb24d
Satellite,5eb87d3bffd86e000604b37f,Japan,Boeing Satellite Systems,5eb0e4cfb6c3bb0006eeb24e
Satellite,5eb87d3cffd86e000604b380,United States,SpaceX,5eb0e4cfb6c3bb0006eeb24f
Crew Dragon,5eb87d3dffd86e000604b381,United States,SpaceX,5eb0e4d0b6c3bb0006eeb250
Satellite,5eb87d3fffd86e000604b382,United States,SpaceX,5eb0e4d0b6c3bb0006eeb251
Satellite,5eb87d41ffd86e000604b383,United States,SpaceX,5eb0e4d0b6c3bb0006eeb252
Dragon 1.1,5eb87d42ffd86e000604b384,United States,SpaceX,5eb0e4d0b6c3bb0006eeb253
Satellite,5eb87d43ffd86e000604b385,United States,SpaceX,5eb0e4d0b6c3bb0006eeb254
Satellite,5eb87d44ffd86e000604b386,United States,SpaceX,5eb0e4d1b6c3bb0006eeb255
Satellite,5eb87d45ffd86e000604b387,United States,SpaceX,5eb0e4d1b6c3bb0006eeb256
Crew Dragon,5eb87d46ffd86e000604b388,United States,SpaceX,5eb0e4d1b6c3bb0006eeb257
Satellite,5eb87d46ffd86e000604b389,United States,SpaceX,5eb0e4d1b6c3bb0006eeb258
Satellite,5eb87d47ffd86e000604b38a,Argentina,,5eb0e4d1b6c3bb0006eeb259
Satellite,5eb87d50ffd86e000604b394,South Korea,South Korea,5eb0e4d2b6c3bb0006eeb25b
Satellite,5eb87d4affd86e000604b38b,United States,Lockheed Martin,5eb0e4d2b6c3bb0006eeb25c
Satellite,5eb87d4bffd86e000604b38c,United States,SSL,5eb0e4d2b6c3bb0006eeb25d
Satellite,5eb87d4cffd86e000604b38d,United States,Lockheed Martin,5eb0e4d2b6c3bb0006eeb25e
Crew Dragon,5eb87d4dffd86e000604b38e,United States,SpaceX,5eb0e4d2b6c3bb0006eeb25f
Satellite,5eb87d4effd86e000604b390,United States,Lockheed Martin,5eb0e4d2b6c3bb0006eeb261
Dragon 2.0,5eb87d4effd86e000604b391,United States,SpaceX,5eb0e4d3b6c3bb0006eeb262
Satellite,5eb87d4fffd86e000604b393,Turkey,Airbus Defence and Space,5eb0e4d3b6c3bb0006eeb264
Satellite,5ed9819a1f30554030d45c29,United States,SpaceX,5ed9858b1f30554030d45c3e
Satellite,5ed981d91f30554030d45c2a,United States,SpaceX,5ed9859f1f30554030d45c3f
Satellite,5ed983aa1f30554030d45c31,United States,,5ed9867c1f30554030d45c40
Satellite,5ed9819a1f30554030d45c29,United States,BlackSky Global,5ee522e32f1f3d474c758123
Satellite,5ef6a1e90059c33cee4a828a,United States,SpaceX,5ef6a4600059c33cee4a829e
Satellite,5ef6a2090059c33cee4a828b,United States,SpaceX,5ef6a48e0059c33cee4a829f
Satellite,5ef6a2bf0059c33cee4a828c,United States,SpaceX,5ef6a4d50059c33cee4a82a1
Satellite,5ef6a2e70059c33cee4a8293,United States,SpaceX,5ef6a4ea0059c33cee4a82a2
Satellite,5f8399fb818d8b59f5740d43,United States,,5f839ac7818d8b59f5740d48
Satellite,5fb95b3f3a88ae63c954603c,United States,SpaceX,5fb95c263a88ae63c9546044
Satellite,5fbfecce54ceb10a5664c80a,United States,SpaceX,5fbfedba54ceb10a5664c813
Satellite,5fbfecfe54ceb10a5664c80b,United States,SpaceX,5fbfedc654ceb10a5664c814
Satellite,5fd386aa7faea57d297c86c1,United States,,5fd3871a7faea57d297c86c6
Satellite,5fe3af43b3467846b324215e,Germany,Airbus Defence and Space,5fe3b2abb3467846b3242172
Crew Dragon,5fe3af58b3467846b324215f,United States,SpaceX,5fe3b3adb3467846b3242173
Crew Dragon,5fe3b15eb3467846b324216d,United States,SpaceX,5fe3b3bab3467846b3242174
Satellite,5fe3af6db3467846b3242160,United States,SSL,5fe3b57db3467846b324217a
Dragon 2.0,5fe3af84b3467846b3242161,United States,SpaceX,5fe3b642b3467846b324217b
Satellite,6243aec2af52800c6e91925d,United States,USSF,5fe3b86eb3467846b324217c
Satellite,5fe3afc1b3467846b3242164,Turkey,Airbus Defence and Space,5fe3c080b3467846b3242190
Satellite,5fe3b107b3467846b324216b,United States,Applied Physics Laboratory,5fe3c4a6b3467846b3242192
Dragon 2.0,5fe3b11eb3467846b324216c,United States,SpaceX,5fe3c4f2b3467846b3242193
Satellite,5ff6554f9257f579ee3a6c5f,United States,SpaceX,5ff655769257f579ee3a6c64
Satellite,600f9a5e8f798e2a4d5f979c,United States,SpaceX,600f9bc08f798e2a4d5f97a4
Satellite,600f9a718f798e2a4d5f979d,United States,SpaceX,600f9bcb8f798e2a4d5f97a5
Satellite,600f9a8d8f798e2a4d5f979e,United States,SpaceX,600f9bd88f798e2a4d5f97a6
Satellite,60428aafc041c16716f73cd7,United States,SpaceX,60428afbc041c16716f73cdd
Satellite,60428ac4c041c16716f73cd8,United States,SpaceX,60428b02c041c16716f73cde
Satellite,605b4b6aaa5433645e37d03f,United States,SpaceX,605b4be3aa5433645e37d046
Satellite,605b4b7daa5433645e37d040,United States,SpaceX,605b4befaa5433645e37d047
Satellite,605b4b95aa5433645e37d041,United States,SpaceX,605b4bfcaa5433645e37d048
Satellite,6079bd1c9a06446e8c61bf76,United States,SpaceX,6079bd5e9a06446e8c61bf7c
Satellite,6079bd399a06446e8c61bf77,United States,SpaceX,6079bd679a06446e8c61bf7d
Crew Dragon,607a37565a906a44023e0866,United States,SpaceX,607a382f5a906a44023e0867
Satellite,600f9b6d8f798e2a4d5f979f,United States,,608ac397eb3e50044e3630e7
Satellite,605b4b95aa5433645e37d041,United States,Capella Space,609f48374a12e4692eae4667
Satellite,605b4b95aa5433645e37d041,United States,Tyvak Nano-Satellite Systems Inc,609f49c64a12e4692eae4668
Satellite,60e3bf0d73359e1e20335c37,United States,SpaceX,60e3bf3373359e1e20335c3c
Satellite,6161c7d26db1a92bfba85346,United States,SpaceX,6161d0af6db1a92bfba85352
Satellite,6161c94c6db1a92bfba85349,United States,SpaceX,6161d0f26db1a92bfba85355
Dragon 2.0,6161d2006db1a92bfba85356,United States,SpaceX,6161d22a6db1a92bfba85357
Satellite,6161d32d6db1a92bfba85359,,,6161d3a06db1a92bfba8535a
Satellite,61bf3e31cd5ab50b0d936345,United States,,6175aaacefa4314085aa9c56
Satellite,618faad2563d69573ed8ca9d,United States,SpaceX,618fabf0563d69573ed8caa6
Satellite,61bba806437241381bf7061e,United States,SpaceX,61bbac16437241381bf70632
Satellite,6161c88d6db1a92bfba85348,United States,"Ball Aerospace & Technologies, OHB Italia",61c1f395a4a2462678cbf46e
Satellite,61d5eca1f88e4c5fc91f1eb7,United States,SpaceX,61d5ece4f88e4c5fc91f1ebb
Satellite,61e048bbbe8d8b66799018d0,United States,SpaceX,61e05516be8d8b66799018d4
Satellite,61e048ffbe8d8b66799018d1,United States,SpaceX,61e05520be8d8b66799018d5
Satellite,61eef7489eb1064137a1bd6f,United States,Intuitive Machines,61eef9b89eb1064137a1bd72
Dragon 2.0,61eefaa89eb1064137a1bd73,United States,SpaceX,61eefb129eb1064137a1bd74
Satellite,61fc01dae0dc5662b76489a7,United States,SpaceX,61fc02e1e0dc5662b76489b4
Satellite,61fc0203e0dc5662b76489a8,United States,SpaceX,61fc0334e0dc5662b76489b5
Satellite,61fc0224e0dc5662b76489ab,United States,SpaceX,61fc0379e0dc5662b76489b6
Satellite,61fc0243e0dc5662b76489ae,United States,SpaceX,61fc0382e0dc5662b76489b7
Satellite,6234908cf051102e1fcedac4,United States,SpaceX,623491e5f051102e1fcedac9
Satellite,6243ad8baf52800c6e919252,United States,,6243af62af52800c6e919260
Satellite,6243ada6af52800c6e919253,United States,SpaceX,6243af9faf52800c6e919261
Satellite,6243adcaaf52800c6e919254,United States,,6243b036af52800c6e919262
Crew Dragon,6243ade2af52800c6e919255,United States,SpaceX,6243b1cdaf52800c6e919265
Satellite,6243ae0aaf52800c6e919257,Egypt,Thales Alenia Space,6243b286af52800c6e919266
Satellite,6243ae24af52800c6e919258,United States,,6243b39daf52800c6e919267
Satellite,6243ba08af52800c6e919270,United States,,6243b788af52800c6e91926b
Dragon 2.0,,United States,SpaceX,6243b835af52800c6e91926d
Satellite,6243ae58af52800c6e91925a,United States,,6243b896af52800c6e91926e
Satellite,6243aea5af52800c6e91925c,United States,Thales Alenia Space,6243b93caf52800c6e91926f
Satellite,6243ae7daf52800c6e91925b,United States,,6243ba4faf52800c6e919271
Satellite,625828f25988f159024b9643,United States,SpaceX,625829cf5988f159024b9648
Satellite,6258290d5988f159024b9644,United States,SpaceX,625829d75988f159024b9649
Satellite,62582a6f5988f159024b964b,United States,SpaceX,62582aa55988f159024b964d
Satellite,62582a855988f159024b964c,United States,SpaceX,62582aad5988f159024b964e
Satellite,62615ebc0ec008379be596fa,United States,SpaceX,62615ee40ec008379be596fd
